"Espoon väestö äidinkielen ja iän mukaan 31.12."

"Alue","Äidinkieli","Ikä","2013","2014","2015","2016","2017","2018","2019","2020"
"049 332 Suurpelto","Suomi ja saame","Väestö yhteensä",1647,1731,1889,2305,2378,2682,2637,2696
"049 332 Suurpelto","Ruotsi","Väestö yhteensä",127,143,144,143,134,133,129,132
"049 332 Suurpelto","Muu kieli","Väestö yhteensä",261,319,578,872,1027,1210,1344,1617
"049 4 Suur-Espoonlahti","Kaikki äidinkielet","Väestö yhteensä",52465,52981,53522,54248,54695,55620,56544,56915
"049 4 Suur-Espoonlahti","Suomi ja saame","Väestö yhteensä",42242,42156,42290,42427,42368,42593,42843,42515
"049 4 Suur-Espoonlahti","Ruotsi","Väestö yhteensä",4991,4995,4980,4941,4863,4871,4851,4807
"049 4 Suur-Espoonlahti","Muu kieli","Väestö yhteensä",5232,5830,6252,6880,7464,8156,8850,9593
"049 41 Kanta-Espoonlahti","Kaikki äidinkielet","Väestö yhteensä",23829,24063,24339,24554,24451,24833,24823,24798
"049 41 Kanta-Espoonlahti","Suomi ja saame","Väestö yhteensä",18347,18230,18210,18044,17742,17701,17481,17170
"049 41 Kanta-Espoonlahti","Ruotsi","Väestö yhteensä",2247,2274,2279,2276,2227,2259,2217,2214
"049 41 Kanta-Espoonlahti","Muu kieli","Väestö yhteensä",3235,3559,3850,4234,4482,4873,5125,5414
"049 411 Espoonlahden keskus","Kaikki äidinkielet","Väestö yhteensä",4167,4285,4408,4486,4393,4411,4460,4412
"049 411 Espoonlahden keskus","Suomi ja saame","Väestö yhteensä",3169,3231,3274,3250,3161,3130,3108,3056
"049 411 Espoonlahden keskus","Ruotsi","Väestö yhteensä",315,340,381,371,346,342,356,345
"049 411 Espoonlahden keskus","Muu kieli","Väestö yhteensä",683,714,753,865,886,939,996,1011
"049 412 Soukanmäki","Kaikki äidinkielet","Väestö yhteensä",6569,6475,6599,6698,6663,6699,6653,6634
"049 412 Soukanmäki","Suomi ja saame","Väestö yhteensä",5037,4854,4803,4787,4677,4588,4470,4342
"049 412 Soukanmäki","Ruotsi","Väestö yhteensä",576,559,538,538,514,517,511,531
"049 412 Soukanmäki","Muu kieli","Väestö yhteensä",956,1062,1258,1373,1472,1594,1672,1761
